RODADA 1
1 -> 23
1 -> 32
1 -> 33
1 -> 34
1 -> 41
1 -> 42
1 -> 43
1 -> 44
1 -> 45
1 -> 50
1 -> 51
1 -> 52
1 -> 53
1 -> 54
1 -> 55
1 -> 56
1 -> 60
1 -> 61
1 -> 62
1 -> 63
1 -> 64
1 -> 65
1 -> 66
1 -> 67
1 -> 70
1 -> 71
1 -> 72
1 -> 73
1 -> 74
1 -> 75
1 -> 76
1 -> 77
1 -> 78
1 -> 80
1 -> 81
1 -> 82
1 -> 83
1 -> 84
1 -> 85
1 -> 86
1 -> 87
1 -> 88
1 -> 89
1 -> 90
1 -> 91
1 -> 92
1 -> 93
1 -> 94
1 -> 95
1 -> 96
1 -> 97
1 -> 98
RODADA 2
2 -> 1
2 -> 2
2 -> 3
2 -> 4
2 -> 5
2 -> 6
2 -> 7
2 -> 8
2 -> 9
2 -> 12
2 -> 13
2 -> 14
2 -> 15
2 -> 16
2 -> 17
2 -> 18
2 -> 19
2 -> 23
2 -> 24
2 -> 25
2 -> 26
2 -> 27
2 -> 28
2 -> 29
2 -> 34
2 -> 35
2 -> 36
2 -> 37
2 -> 38
2 -> 45
2 -> 46
2 -> 47
2 -> 56
RODADA 3
3 -> 29
3 -> 38
3 -> 39
3 -> 47
3 -> 48
3 -> 49
3 -> 56
3 -> 57
3 -> 58
3 -> 59
3 -> 66
3 -> 67
3 -> 68
3 -> 69
3 -> 77
3 -> 78
3 -> 79
3 -> 88
3 -> 89
3 -> 98
3 -> 99
RODADA 4
4 -> 0
4 -> 1
4 -> 10
4 -> 11
4 -> 12
4 -> 20
4 -> 21
4 -> 22
4 -> 30
4 -> 31
4 -> 40
RODADA 5
5 -> 88
5 -> 89
5 -> 98
5 -> 99
RODADA 6
6 -> 77
RODADA 7
7 -> 98
