Instance,Time consumed,Time to solution,Iteration,Freq Sol,Solution
c-fat200-1,600.0030,0.0121,2,1,9
c-fat200-2,600.0018,0.0165,3,124438,5
c-fat200-5,600.0013,0.0098,2,144792,3
netscience,600.0064,13.3707,1623,1,6
ba_1k_2k,600.0004,0.0118,2,55709,5
polblogs,600.0043,0.0165,3,43268,6
c-fat500-5,600.0051,0.0289,2,26418,5
mahindas,600.0087,0.0256,2,35989,5
reed98,600.0060,0.0409,3,25170,4
c-fat500-2,600.0030,0.0399,2,1,9
c-fat500-1,600.0408,0.0878,2,1,15
c-fat500-10,600.0199,0.0472,2,7413,3
chameleon,600.0155,0.1214,3,561,7
facebook_tvshow,600.0007,0.5853,19,200,10
facebook_politician,600.0199,0.1603,3,9315,8
squirrel,600.0899,0.2306,2,2361,6
facebook_government,600.0472,0.4785,5,202,6
DD497,600.3281,56.4197,169,2,33
crocodile,600.0197,0.7004,5,135,6
Cite-DBLP,600.0619,0.4013,1,1854,41
facebook_ego,602.6986,0.4378,4,2,5
deezer_hr,600.2171,9.3647,10,1,7
