Instance,n,m,d(G),Iterations,b(G),Sol Value Mean,Freq Solution,Iteration Sol
Cite-DBLP,12591,49620,0.0006,2163,41,41.0046,2153,1
ba_1k_2k,1000,1996,0.0040,107031,5,5.4981,53718,2
c-fat200-1,200,1534,0.0771,87745,9,10.0000,1,2
c-fat200-2,200,3235,0.1626,104717,5,5.0000,104715,3
c-fat200-5,200,8473,0.4258,136512,3,3.0000,136511,2
c-fat500-1,500,4459,0.0357,9773,17,17.0000,9773,1
c-fat500-10,500,46627,0.3738,29773,4,4.0000,29773,1
c-fat500-2,500,9139,0.0733,13807,9,10.6681,1,2
c-fat500-5,500,23191,0.1859,26435,5,5.0001,26434,2
chameleon,2277,31421,0.0121,20956,7,8.2353,578,6
crocodile,11631,170918,0.0025,3873,6,7.1627,122,8
deezer_hr,54573,498202,0.0003,1056,7,8.0000,1,5
facebook_ego,4039,88234,0.0108,234,5,7.5342,2,8
facebook_government,7057,89455,0.0036,8357,6,6.9619,318,2
facebook_politician,5908,41729,0.0024,11150,8,8.2377,8500,2
facebook_tvshow,3892,17262,0.0023,19251,10,11.0281,195,55
mahindas,1258,7513,0.0095,64427,5,5.1983,51648,2
netscience,379,914,0.0128,46287,6,10.0661,1,359
polblogs,643,2280,0.0110,145150,6,6.5551,64579,2
reed98,962,18812,0.0407,63163,4,4.5957,25538,2
squirrel,5201,198493,0.0147,4915,6,6.5607,2159,2
