Instancia,Tempo consumido,Qtd iteracoes,Qtd solucoes viaveis,Media solucoes,Melhor solucao,Frequencia melhor sol,Iteracao melhor sol
c-fat200-1,600.00,87246,87246,10.000011,9,1,2
c-fat500-10,600.01,24570,24570,3.000081,3,24569,2
c-fat500-5,600.02,26316,26316,5.000076,5,26315,2
c-fat200-5,600.00,127716,127716,3.000008,3,127715,2
c-fat200-2,600.00,122028,122028,5.000016,5,122027,2
c-fat500-2,600.03,12064,12064,10.999917,8,1,2
polblogs,600.00,142356,142356,6.597931,6,57237,3
netscience,600.00,74628,74628,9.072600,7,6311,3
mahindas,600.00,66185,66185,5.195437,5,53250,2
c-fat500-1,600.06,9090,9090,17.497030,16,1,2
chameleon,600.01,21172,21172,8.036841,7,1097,4
ba_1k_2k,600.00,104500,104500,5.498900,5,52365,2
reed98,600.01,62307,62307,4.595342,4,25213,2
facebook_politician,600.03,12537,12537,8.086305,8,11456,3
facebook_tvshow,600.02,18945,18945,10.992927,10,135,53
squirrel,600.05,3586,3586,6.556888,6,1589,3
facebook_government,600.04,8239,8239,6.968079,6,263,3
facebook_ego,600.75,217,217,7.649770,5,1,4
crocodile,600.04,3331,3331,7.080156,6,213,12
Cite-DBLP,600.03,2215,2215,41.004966,41,2204,1
deezer_hr,600.02,1046,1046,8.000000,7,1,4
-,-,-,-,-,-,-,-
c-fat500-2,600.00,13724,13724,10.665039,9,1,2
c-fat200-1,600.00,87264,87264,9.999989,9,1,3
netscience,600.01,45590,45590,10.098991,6,1,354
c-fat500-5,600.02,26024,26024,5.000038,5,26023,2
ba_1k_2k,600.00,104914,104914,5.498990,5,52563,2
reed98,600.00,62492,62492,4.595516,4,25277,2
c-fat500-1,600.01,6510,6510,19.020276,14,1,1
polblogs,600.00,137769,137769,6.555481,6,61241,3
chameleon,600.01,20694,20694,8.232966,7,592,6
c-fat200-2,600.00,107760,107760,5.228944,5,83090,3
c-fat500-10,600.00,25388,25388,4.000000,4,25388,1
mahindas,600.00,55288,55288,5.195703,5,44468,2
facebook_tvshow,600.03,19066,19066,11.004353,10,468,4
c-fat200-5,600.00,136221,136221,3.000007,3,136220,2
facebook_politician,600.03,12381,12381,8.230434,8,9529,3
squirrel,600.02,5378,5378,6.552436,6,2407,3
facebook_government,600.03,8299,8299,6.965177,6,289,3
facebook_ego,600.73,217,217,7.649770,5,1,4
Cite-DBLP,600.06,2222,2222,41.004950,41,2211,1
crocodile,600.02,3794,3794,7.161834,6,124,3
deezer_hr,600.32,1044,1044,8.000000,7,1,4
