Instancia,Tempo consumido,Qtd iteracoes,Qtd solucoes viaveis,Media solucoes,Melhor solucao,Frequencia melhor sol,Iteracao melhor sol,Alpha melhor sol
Cite-DBLP,600.08,2833,2833,41.037769,41,2740,1,0.1
ba_1k_2k,600.00,140757,140757,5.507122,5,69376,2,0.1
c-fat200-1,600.00,112484,112484,10.010099,9,1,3,0.1
c-fat200-2,600.00,157503,157503,5.135572,5,136323,43,0.5
c-fat200-5,600.00,185486,185486,3.043949,3,177334,2,0.1
c-fat500-1,600.01,12875,12875,17.067573,17,12043,3,0.1
c-fat500-10,600.01,29985,29985,3.377355,3,18671,2,0.1
c-fat500-2,600.02,21390,21390,10.034689,10,20656,3,0.1
c-fat500-5,600.00,34048,34048,5.011131,5,33672,2,0.1
chameleon,600.01,26750,26750,8.188523,7,892,19,0.2
crocodile,600.07,5582,5582,7.156037,6,221,11,0.2
deezer_hr,600.23,1329,1329,8.000000,7,1,4,0.1
facebook_ego,602.69,292,292,7.602740,5,1,4,0.1
facebook_government,600.01,10571,10571,6.966796,6,351,3,0.1
facebook_politician,600.02,15752,15752,8.210703,8,12445,3,0.1
facebook_tvshow,600.01,24348,24348,11.010678,10,337,75,0.8
mahindas,600.01,86864,86864,5.261443,5,64154,2,0.1
netscience,600.00,60281,60281,10.138253,6,1,3666,0.8
polblogs,600.00,187466,187466,6.571405,6,80347,3,0.1
reed98,600.01,80147,80147,4.629231,4,29716,2,0.1
squirrel,600.00,6895,6895,6.566788,6,2987,3,0.1
